title_id,teacher_id,student_id
1,11,53
1,11,54
1,11,55
1,11,56
2,23,57
2,23,58
2,23,59
2,23,60
3,18,61
3,18,62
3,18,63
3,18,64
4,24,65
4,24,66
4,24,67
4,24,68
5,4,69
5,4,70
5,4,71
5,4,72
6,14,73
6,14,74
6,14,75
6,14,76
7,10,77
7,10,78
7,10,79
7,10,80
8,7,81
8,7,82
8,7,83
9,14,84
9,14,85
9,14,86
9,14,87
10,24,88
10,24,89
10,24,90
10,24,91
11,14,92
11,14,93
11,14,94
11,14,95
12,23,96
12,23,97
12,23,98
12,23,99
13,11,100
13,11,101
13,11,102
13,11,103
14,2,104
14,2,105
14,2,106
14,2,107
15,25,108
15,25,109
15,25,110
15,25,111
16,10,112
16,10,113
16,10,114
16,10,115
17,3,116
17,3,117
17,3,118
17,3,119
18,25,120
18,25,121
18,25,122
18,25,123
19,2,124
19,2,125
19,2,126
19,2,127
20,3,128
20,3,129
20,3,130
20,3,131
21,23,132
21,23,133
22,3,134
22,3,135
22,3,136
22,3,137
23,14,138
23,14,139
23,14,140
23,14,141
24,14,142
24,14,143
24,14,144
24,14,145
25,1,146
25,1,147
25,1,148
25,1,149
